date,dividends,ticker,extraction_timestamp
2012-11-20 00:00:00-05:00,0.001875,NVDA,2024-11-01 20:27:34
2013-02-26 00:00:00-05:00,0.001875,NVDA,2024-11-01 20:27:34
2013-05-21 00:00:00-04:00,0.001875,NVDA,2024-11-01 20:27:34
2013-08-20 00:00:00-04:00,0.001875,NVDA,2024-11-01 20:27:34
2013-11-19 00:00:00-05:00,0.002125,NVDA,2024-11-01 20:27:34
2014-02-25 00:00:00-05:00,0.002125,NVDA,2024-11-01 20:27:34
2014-05-20 00:00:00-04:00,0.002125,NVDA,2024-11-01 20:27:34
2014-08-19 00:00:00-04:00,0.002125,NVDA,2024-11-01 20:27:34
2014-11-19 00:00:00-05:00,0.002125,NVDA,2024-11-01 20:27:34
2015-02-24 00:00:00-05:00,0.002125,NVDA,2024-11-01 20:27:34
2015-05-19 00:00:00-04:00,0.00245,NVDA,2024-11-01 20:27:34
2015-08-18 00:00:00-04:00,0.00245,NVDA,2024-11-01 20:27:34
2015-11-18 00:00:00-05:00,0.002875,NVDA,2024-11-01 20:27:34
2016-02-29 00:00:00-05:00,0.002875,NVDA,2024-11-01 20:27:34
2016-05-24 00:00:00-04:00,0.002875,NVDA,2024-11-01 20:27:34
2016-08-23 00:00:00-04:00,0.002875,NVDA,2024-11-01 20:27:34
2016-11-23 00:00:00-05:00,0.0035,NVDA,2024-11-01 20:27:34
2017-02-22 00:00:00-05:00,0.0035,NVDA,2024-11-01 20:27:34
2017-05-19 00:00:00-04:00,0.0035,NVDA,2024-11-01 20:27:34
2017-08-22 00:00:00-04:00,0.0035,NVDA,2024-11-01 20:27:34
2017-11-22 00:00:00-05:00,0.00375,NVDA,2024-11-01 20:27:34
2018-02-22 00:00:00-05:00,0.00375,NVDA,2024-11-01 20:27:34
2018-05-23 00:00:00-04:00,0.00375,NVDA,2024-11-01 20:27:34
2018-08-29 00:00:00-04:00,0.00375,NVDA,2024-11-01 20:27:34
2018-11-29 00:00:00-05:00,0.004,NVDA,2024-11-01 20:27:34
2019-02-28 00:00:00-05:00,0.004,NVDA,2024-11-01 20:27:34
2019-05-30 00:00:00-04:00,0.004,NVDA,2024-11-01 20:27:34
2019-08-28 00:00:00-04:00,0.004,NVDA,2024-11-01 20:27:34
2019-11-27 00:00:00-05:00,0.004,NVDA,2024-11-01 20:27:34
2020-02-27 00:00:00-05:00,0.004,NVDA,2024-11-01 20:27:34
2020-06-04 00:00:00-04:00,0.004,NVDA,2024-11-01 20:27:34
2020-09-01 00:00:00-04:00,0.004,NVDA,2024-11-01 20:27:34
2020-12-03 00:00:00-05:00,0.004,NVDA,2024-11-01 20:27:34
